Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,4.079381872106482,0.9098578559027778,6.333957248263889,4.994330512152778
2,00:00:00.080,4.898328993055556,1.0556640625,7.682671440972222,5.956651475694445
3,00:00:00.120,7.959526909722222,1.9847005208333333,12.574598524305555,9.319281684027779
4,00:00:00.160,5.298972800925926,1.3401150173611112,8.211344401041666,6.345458984375
5,00:00:00.200,3.3207103587962963,0.8426106770833334,4.980658637152778,4.138861762152778
6,00:00:00.240,3.3810673466435177,0.9667697482638888,4.991536458333333,4.184895833333333
7,00:00:00.280,3.3247793692129632,0.9841037326388888,4.854899088541667,4.135335286458333
8,00:00:00.320,7.741328486689814,2.1356336805555554,11.862630208333334,9.225721571180555
9,00:00:00.360,4.064968532986111,1.2005750868055556,5.974229600694445,5.020100911458333
10,00:00:00.400,4.366364655671297,1.1567654079861112,6.581759982638889,5.360568576388889
11,00:00:00.440,3.355740017361111,1.0029839409722223,5.022271050347222,4.041965060763889
12,00:00:00.480,3.2753182870370368,1.0429144965277777,4.846598307291667,3.9364420572916665
13,00:00:00.520,5.824734157986111,1.6369357638888888,8.99709743923611,6.840169270833333
14,00:00:00.560,2.976625795717593,1.0189344618055556,4.346408420138889,3.5645345052083335
15,00:00:00.600,4.666106047453703,1.5368381076388888,6.928521050347222,5.532958984375
16,00:00:00.640,4.131781684027778,1.3225368923611112,6.204806857638889,4.868001302083333
17,00:00:00.680,3.1972384982638893,1.1207682291666667,4.747477213541667,3.7234700520833335
18,00:00:00.720,6.39136646412037,1.74462890625,9.893744574652779,7.535725911458333
19,00:00:00.760,4.133707682291667,0.9998372395833334,6.47705078125,4.924235026041667
20,00:00:00.800,3.2188042534722228,1.0285373263888888,4.752305772569445,3.8755696614583335
21,00:00:00.840,3.400761357060185,1.1185167100694444,4.955105251736111,4.128662109375
22,00:00:00.880,3.6263472945601856,1.1270073784722223,5.397623697916667,4.354410807291667
23,00:00:00.920,7.167697482638888,2.047878689236111,11.13357204861111,8.321641710069445
24,00:00:00.960,3.424705222800926,1.2001953125,5.033827039930555,4.040093315972222
25,00:00:01.000,3.3149052372685186,1.1767035590277777,4.855305989583333,3.9127061631944446
26,00:00:01.040,4.874095775462963,1.4677734375,7.459038628472222,5.695475260416667
27,00:00:01.080,5.613308376736111,1.7050238715277777,8.55886501736111,6.576036241319445
28,00:00:01.120,8.827690972222221,2.6206868489583335,13.74148220486111,10.120903862847221
29,00:00:01.160,4.05663158275463,1.4599338107638888,6.035536024305555,4.674424913194445
30,00:00:01.200,4.2579119646990735,1.6134982638888888,6.182779947916667,4.977457682291667
31,00:00:01.240,4.1739275896990735,1.5560438368055556,6.095757378472222,4.869981553819445
32,00:00:01.280,3.741843894675926,1.4329969618055556,5.457600911458333,4.334933810763889
33,00:00:01.320,7.818883825231481,2.3329535590277777,12.164360894097221,8.959337022569445
34,00:00:01.360,6.807246455439814,1.9003363715277777,10.593831380208334,7.927571614583333
35,00:00:01.400,7.2811414930555545,1.8869900173611112,11.35476345486111,8.601671006944445
36,00:00:01.440,5.881112557870371,1.5220540364583333,9.172688802083334,6.948594835069445
37,00:00:01.480,4.666133174189815,1.5428331163194444,6.847927517361111,5.607638888888889
38,00:00:01.520,9.422571252893519,2.845974392361111,14.583387586805555,10.83835177951389
39,00:00:01.560,3.9006166811342595,0.9551323784722222,6.024169921875,4.722547743055555
40,00:00:01.600,4.6568829571759265,1.0532497829861112,7.246202256944445,5.671196831597222
41,00:00:01.640,4.172001591435185,0.97998046875,6.431043836805555,5.10498046875
42,00:00:01.680,2.9606481481481484,0.6964246961805556,4.525336371527778,3.660183376736111
43,00:00:01.720,5.824996383101851,1.3983832465277777,9.212700737847221,6.863905164930555
44,00:00:01.760,2.6676341869212963,0.6507432725694444,4.080430772569445,3.271728515625
45,00:00:01.800,2.3142813223379632,0.7844509548611112,3.2906087239583335,2.8677842881944446
46,00:00:01.840,2.8200593171296298,0.7826334635416666,4.190972222222222,3.486572265625
47,00:00:01.880,2.9060420283564814,0.9372016059027778,4.306776258680555,3.474148220486111
48,00:00:01.920,4.6106137876157405,1.5409613715277777,6.923068576388889,5.367811414930555
49,00:00:01.960,2.7200430410879632,0.9188368055555556,4.060736762152778,3.1805555555555554
50,00:00:02.000,3.383445457175926,1.0379503038194444,5.149088541666667,3.9632975260416665
51,00:00:02.040,2.6512948495370368,0.9318305121527778,3.847384982638889,3.1746690538194446
52,00:00:02.080,2.7977701822916665,0.9294704861111112,4.113661024305555,3.3501790364583335
53,00:00:02.120,4.274043330439815,1.5000813802083333,6.317925347222222,5.004123263888889
54,00:00:02.160,2.936704282407407,0.7953830295138888,4.298583984375,3.7161458333333335
55,00:00:02.200,4.0976381655092595,0.8541124131944444,6.399115668402778,5.039686414930555
